count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,1245708,-170.7,0.0,-3.8,5.6,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.10,-0.09,1.04,-4.08,3.45,-3.08,55,67,247
1,1245805,-170.7,0.0,-3.8,5.6,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.11,-0.08,1.03,-2.26,1.91,-3.43,55,67,247
2,1245903,-170.7,0.0,-3.9,5.7,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.12,-0.07,1.03,-0.58,0.09,-3.43,55,67,247
3,1246000,-170.7,0.0,-3.9,5.8,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.12,-0.07,1.02,0.33,-1.59,-3.15,55,67,247
4,1246097,-170.7,0.0,-3.8,5.8,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.12,-0.06,1.01,0.68,-2.43,-2.38,55,67,247
5,1246195,-170.7,0.0,-3.8,5.9,257.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.12,-0.05,1.01,0.89,-2.71,-1.61,55,67,247
6,1246292,-170.7,0.0,-3.7,6.0,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.12,-0.05,1.00,1.45,-2.71,-0.63,55,67,247
7,1246389,-170.7,0.0,-3.6,6.0,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.11,-0.05,0.99,1.38,-2.36,0.28,55,67,247
8,1246487,-170.7,0.0,-3.6,6.0,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.10,-0.06,0.99,0.82,-1.73,0.98,55,67,247
9,1246584,-170.7,0.0,-3.6,6.0,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.09,-0.07,0.99,-0.16,-1.59,1.12,55,67,247
10,1246681,-170.7,0.0,-3.7,5.9,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.09,-0.07,1.01,-0.93,-3.48,0.49,55,67,247
11,1246779,-170.7,0.0,-3.7,5.7,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.09,-0.06,1.03,-1.42,-9.22,-0.63,55,67,247
12,1246876,-170.7,0.0,-3.7,5.6,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.09,-0.06,1.02,-1.49,-15.10,-0.84,55,67,247
13,1246973,-170.7,0.0,-3.7,5.4,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.08,-0.06,1.00,-1.14,-17.76,-0.49,55,67,247
14,1247071,-170.7,0.0,-3.7,5.1,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.08,-0.07,0.99,0.12,-17.90,-1.12,55,67,247
15,1247168,-170.7,0.0,-3.7,4.9,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.08,-0.07,1.00,1.66,-17.76,-2.03,55,67,247
16,1247266,-170.7,0.0,-3.7,4.7,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.07,-0.07,1.00,2.78,-19.79,-2.80,55,67,247
17,1247363,-170.7,0.0,-3.7,4.5,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.07,-0.07,1.00,2.71,-21.82,-3.43,55,67,247
18,1247460,-170.7,0.0,-3.7,4.2,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.06,-0.07,0.99,2.22,-22.45,-3.85,55,67,247
19,1247558,-170.7,0.0,-3.8,3.9,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.05,-0.07,0.99,2.50,-21.89,-4.76,55,67,247
20,1247655,-170.7,0.0,-3.8,3.7,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.06,-0.07,0.98,2.85,-20.35,-5.81,55,67,247
21,1247752,-170.7,0.0,-3.8,3.5,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.06,-0.06,0.97,2.92,-17.48,-6.30,55,67,247
22,1247850,-170.7,0.0,-3.8,3.5,257.7,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.07,-0.06,0.97,2.85,-14.12,-6.23,55,67,247
23,1247947,-170.7,0.0,-3.7,3.4,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.07,-0.05,0.97,2.29,-9.92,-5.81,55,67,247
24,1248044,-170.7,0.0,-3.6,3.5,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.08,-0.05,0.97,1.66,-5.16,-5.04,55,67,247
25,1248142,-170.7,0.0,-3.6,3.6,257.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.09,-0.05,0.98,1.52,-0.82,-3.92,55,67,247
