bytes: 34811
count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,46845666,-170.6,0.0,0.0,-0.1,335.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.65,-0.42,55,67,247
1,46845763,-170.6,0.0,-0.0,-0.1,335.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
2,46845860,-170.6,0.0,-0.0,-0.1,335.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.65,-0.42,55,67,247
3,46845958,-170.6,0.0,-0.2,-0.2,335.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,0.05,0.65,-0.42,55,67,247
4,46846055,-170.6,0.0,-0.3,-0.3,335.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.16,0.65,-0.49,55,67,247
5,46846153,-170.5,0.0,-0.3,-0.3,335.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
6,46846250,-170.5,0.0,-0.3,-0.3,335.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
7,46846347,-170.5,0.0,-0.3,-0.3,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.58,-0.42,55,67,247
8,46846445,-170.5,0.0,-0.2,-0.3,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
9,46846542,-170.5,0.0,-0.2,-0.2,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.65,-0.49,55,67,247
10,46846639,-170.5,0.0,-0.2,-0.2,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.72,-0.49,55,67,247
11,46846737,-170.5,0.0,-0.2,-0.2,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
12,46846834,-170.5,0.0,-0.2,-0.2,335.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.16,0.65,-0.49,55,67,247
13,46846931,-170.6,0.0,-0.3,-0.2,335.1,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.65,-0.49,55,67,247
14,46847029,-170.6,0.0,-0.3,-0.3,335.0,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
15,46847126,-170.5,0.0,-0.3,-0.3,334.9,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.51,-0.42,55,67,247
16,46847223,-170.5,0.0,-0.3,-0.3,334.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.58,-0.49,55,67,247
17,46847321,-170.5,0.0,-0.3,-0.3,334.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.58,-0.49,55,67,247
18,46847418,-170.5,0.0,-0.3,-0.3,334.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,0.05,0.65,-0.49,55,67,247
19,46847516,-170.5,0.0,-0.3,-0.3,334.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.65,-0.49,55,67,247
20,46847613,-170.5,0.0,-0.3,-0.2,334.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.72,-0.49,55,67,247
21,46847710,-170.5,0.0,-0.3,-0.3,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
22,46847808,-170.6,0.0,-0.3,-0.3,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.72,-0.49,55,67,247
23,46847905,-170.6,0.0,-0.2,-0.2,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.02,0.72,-0.49,55,67,247
24,46848002,-170.6,0.0,-0.2,-0.2,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
25,46848100,-170.6,0.0,-0.1,-0.2,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
26,46848197,-170.6,0.0,-0.2,-0.2,334.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
